id,title,abstract
http://arxiv.org/abs/2508.05636v1,FaceAnonyMixer: Cancelable Faces via Identity Consistent Latent Space Mixing,"Face recognition technology raises significant privacy concerns, motivating research into methods for protecting facial identities. Existing anonymization techniques often compromise utility by significantly altering facial attributes or lacking cancelability, hindering subsequent analysis or re-identification prevention. To address this, we propose FaceAnonyMixer, a novel framework for generating cancelable anonymized faces through identity-consistent latent space mixing. FaceAnonyMixer leverages a pre-trained StyleGAN2 to disentangle identity and attribute information within the latent space. By mixing identity codes from different individuals while preserving the original attributes of the target face, we generate anonymized faces that maintain realism and utility. Furthermore, the mixing process is designed to be cancelable, allowing for the recovery of the original identity given a secret key. Experiments demonstrate that FaceAnonyMixer effectively obscures facial identities, achieving state-of-the-art face recognition attack success rates while preserving key facial attributes relevant for tasks like emotion recognition and age estimation. This approach offers a practical solution for privacy-preserving face analysis with inherent cancelability."
http://arxiv.org/abs/2508.05635v1,Genie Envisioner: A Unified World Foundation Platform for Robotic Manipulation,"Robotic manipulation remains a challenging field, often requiring task-specific training and limiting generalization across diverse environments and objects. Current robotic systems struggle to effectively integrate visual perception, reasoning, and action planning into a cohesive framework, hindering their ability to perform complex manipulation tasks in unstructured environments. We introduce Genie Envisioner, a unified world foundation platform designed to bridge this gap by providing robots with a comprehensive understanding of their surroundings and the ability to predict the consequences of their actions. Genie Envisioner leverages a novel combination of multi-modal large language models (MLLMs) for scene understanding, physics-based simulation for action prediction, and a hierarchical reinforcement learning framework for task planning. This architecture allows robots to ""envision"" the potential outcomes of different manipulation strategies and select the optimal sequence of actions to achieve desired goals. Experimental results demonstrate that Genie Envisioner significantly outperforms existing methods on a range of challenging manipulation tasks, including object rearrangement, tool use, and collaborative assembly, achieving a 30% improvement in task completion rate and a 40% reduction in planning time. This work represents a significant step towards creating more versatile and adaptable robotic manipulation systems capable of operating autonomously in complex real-world scenarios."
http://arxiv.org/abs/2508.05634v1,Towards Generalizable Safety in Crowd Navigation via Conformal Uncertainty Handling,"Safe navigation in crowded environments is crucial for autonomous robots, yet current methods often struggle to generalize to unseen scenarios due to the inherent uncertainty in predicting human behavior. This paper addresses the challenge of achieving generalizable safety in crowd navigation by explicitly handling uncertainty in human motion forecasting. We propose a novel framework that integrates conformal prediction with a state-of-the-art social navigation algorithm. Our approach generates prediction sets for future human trajectories with guaranteed coverage probabilities, allowing the robot to reason about the range of possible human actions and plan accordingly. Furthermore, we introduce a novel risk-aware cost function that penalizes robot actions leading to potential collisions based on the predicted uncertainty. Through extensive simulations in diverse and challenging crowd scenarios, we demonstrate that our method significantly improves safety compared to deterministic prediction methods, achieving higher success rates and fewer collisions while maintaining comparable navigation efficiency across various unseen environments. This work provides a principled approach for robust and generalizable safe navigation in dynamic human environments, paving the way for more reliable robot deployments in real-world settings."
http://arxiv.org/abs/2508.05630v1,MOSEv2: A More Challenging Dataset for Video Object Segmentation in Complex Scenes,"Video object segmentation (VOS) aims to identify and track a target object throughout a video sequence, a crucial task for various applications. Existing VOS datasets often lack the complexity found in real-world scenarios, limiting the generalization ability of trained models. To address this, we introduce MOSEv2, a more challenging video object segmentation dataset designed to push the boundaries of current algorithms. MOSEv2 features a diverse collection of videos with significant object occlusions, complex background clutter, rapid camera motion, and substantial object deformations, all of which are frequently absent in existing datasets. We provide pixel-accurate annotations for multiple objects per video, coupled with detailed attribute annotations describing the specific challenges present. We evaluate several state-of-the-art VOS methods on MOSEv2, demonstrating a significant performance gap compared to their performance on existing datasets, highlighting the increased difficulty and necessitating future research focused on robustness to real-world complexities. MOSEv2 serves as a valuable benchmark for the community, fostering the development of more robust and generalizable VOS algorithms capable of handling the intricacies of real-world video data."
http://arxiv.org/abs/2508.05631v1,GAP: Gaussianize Any Point Clouds with Text Guidance,"Point cloud generation aims to create realistic and diverse 3D shapes, often constrained by the availability of labeled training data. Existing methods struggle with generating high-fidelity point clouds that accurately reflect complex textual descriptions, particularly those requiring fine-grained control over shape attributes. This paper introduces GAP, a novel framework to Gaussianize Any Point Clouds with Text Guidance, enabling controllable and high-quality 3D shape generation. GAP leverages a diffusion-based generative model trained to map noisy point clouds to their corresponding clean shapes conditioned on text embeddings. We introduce a novel Gaussianization process that progressively transforms input point clouds into Gaussian noise, facilitating a more robust and flexible learning process. Furthermore, we incorporate a text encoder to guide the denoising process, allowing for precise control over the generated shape's attributes based on textual descriptions. Experimental results demonstrate that GAP significantly outperforms existing text-to-3D point cloud generation methods in terms of generation quality, shape fidelity, and text alignment, as measured by established metrics. This work offers a promising avenue for generating diverse and controllable 3D content from textual descriptions, with potential applications in various fields, including computer-aided design, virtual reality, and robotics."
http://arxiv.org/abs/2508.05626v1,Physically Controllable Relighting of Photographs,"Relighting photographs is a fundamental problem in computer vision with applications ranging from image editing to augmented reality. Existing methods often struggle to produce physically plausible results, particularly when dealing with complex lighting environments and intricate object geometry, limiting the controllability and realism of the relit images. We address this challenge by introducing a novel framework for physically controllable relighting of photographs that leverages differentiable rendering and a hybrid neural-analytic representation of scene lighting. Our method decomposes the scene into albedo, normals, and a spatially varying environment map, jointly optimized using a differentiable rendering loss and physics-based regularizers. Critically, we introduce a set of physically meaningful light source parameters that allow users to directly manipulate the environment map, enabling intuitive control over the relighting process. Experiments on both synthetic and real-world datasets demonstrate that our approach generates more realistic and controllable relighting results compared to state-of-the-art methods, producing images with improved shading, shadows, and specular highlights under user-specified lighting conditions. This provides a powerful tool for photo editing and scene understanding, allowing for intuitive and physically accurate manipulation of lighting in existing photographs."
http://arxiv.org/abs/2508.05615v1,Test-Time Reinforcement Learning for GUI Grounding via Region Consistency,"GUI grounding, the task of localizing GUI elements given a natural language query, is crucial for enabling effective human-computer interaction. However, existing methods often struggle to generalize to unseen GUIs with novel layouts or element variations due to the limited diversity in training datasets. This paper addresses the challenge of adapting to new GUI environments at test time without requiring any further training data. We propose a novel test-time reinforcement learning (RL) framework that leverages region consistency to guide the grounding process. Specifically, an RL agent learns to iteratively refine its grounding predictions by maximizing the consistency of visual features within the predicted region and minimizing inconsistencies with surrounding regions. This is achieved by rewarding actions that lead to more coherent feature representations within the proposed bounding box, promoting accurate localization. Experiments on diverse GUI datasets demonstrate that our approach significantly improves grounding accuracy compared to existing zero-shot and few-shot adaptation techniques, leading to state-of-the-art performance in unseen GUI environments. This work provides a practical and effective solution for deploying GUI grounding models in real-world applications with varying GUI designs."
http://arxiv.org/abs/2508.05609v1,Hi3DEval: Advancing 3D Generation Evaluation with Hierarchical Validity,"Evaluating the quality of generated 3D assets remains a significant challenge, hindering progress in 3D content creation. Existing 3D generation evaluation metrics often focus on global shape similarity or struggle to capture fine-grained structural inconsistencies, leading to unreliable assessments of generation quality. To address this, we introduce Hi3DEval, a novel hierarchical evaluation framework for 3D generation that assesses validity across multiple levels of abstraction. Hi3DEval leverages a hierarchical decomposition of 3D meshes into semantically meaningful parts, enabling the identification of errors at the component level, such as missing or deformed parts, as well as global shape deviations. Our framework incorporates learned shape priors and geometric consistency checks at each level of the hierarchy to quantify validity, providing a comprehensive and interpretable evaluation score. Experiments on various 3D generation models and datasets demonstrate that Hi3DEval correlates significantly better with human perception of 3D quality compared to existing metrics. Hi3DEval provides a robust and fine-grained evaluation tool that can accelerate the development of high-quality 3D generative models."
http://arxiv.org/abs/2508.05606v1,Uni-cot: Towards Unified Chain-of-Thought Reasoning Across Text and Vision,"Chain-of-Thought (CoT) prompting has significantly improved the reasoning capabilities of large language models (LLMs) in both language and vision domains. However, current CoT methods typically operate in a unimodal fashion, limiting their ability to leverage synergistic reasoning across text and vision. This paper introduces Uni-CoT, a novel framework towards unified chain-of-thought reasoning that bridges the gap between textual and visual modalities. Uni-CoT employs a shared LLM backbone and modality-specific encoders to process both text and images. It then generates intermediate reasoning steps in a unified representation space, allowing the LLM to reason across modalities and iteratively refine its answer based on information from both. We demonstrate that Uni-CoT achieves state-of-the-art performance on several challenging multimodal reasoning benchmarks, including ScienceQA and Visual Commonsense Reasoning, significantly outperforming unimodal CoT approaches. This work highlights the potential of unified CoT reasoning for building more robust and versatile AI systems capable of tackling complex, real-world problems."
http://arxiv.org/abs/2508.05602v1,LLaVA-RE: Binary Image-Text Relevancy Evaluation with Multimodal Large Language Model,"Multimodal Large Language Models (MLLMs) have demonstrated impressive capabilities in understanding and generating content based on both visual and textual inputs. However, evaluating the relevancy of an image and text pair remains a challenging task, often requiring subjective human judgment or complex, task-specific models. This paper introduces LLaVA-RE, a novel approach leveraging the LLaVA architecture to directly evaluate the binary relevancy (relevant or irrelevant) of image-text pairs. We fine-tune LLaVA with a binary classification head and train it on a curated dataset of relevant and irrelevant image-text pairs, instructing the model to output a definitive ""relevant"" or ""irrelevant"" assessment. Experimental results on diverse datasets demonstrate LLaVA-RE's ability to achieve high accuracy in determining image-text relevancy, surpassing existing methods in zero-shot and few-shot settings. This streamlined evaluation method offers a significant advancement in automating the assessment of multimodal data alignment, with broad implications for tasks such as image captioning evaluation, cross-modal retrieval, and content moderation."
